               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  41,            0.041952,           0.0052466,          7.9815e-05,             0.72528,             0.52965,             0.55826,             0.28478,            0.043763,            0.010637,          6.2556e-05,            0.000168,            0.000168,            0.000168
                  42,            0.041554,           0.0051946,          6.5266e-05,             0.73442,             0.52705,              0.5587,             0.28453,            0.043751,            0.010653,          6.5168e-05,          0.00016282,          0.00016282,          0.00016282
                  43,            0.041267,           0.0051552,          7.2281e-05,             0.74283,             0.52342,             0.55906,             0.28489,            0.043747,             0.01071,          6.5285e-05,          0.00015764,          0.00015764,          0.00015764
                  44,            0.041316,           0.0051786,            7.41e-05,             0.73005,             0.52756,             0.56023,             0.28531,            0.043733,            0.010815,          6.8623e-05,          0.00015249,          0.00015249,          0.00015249
                  45,             0.04141,           0.0052284,          7.6353e-05,             0.71354,             0.53389,             0.55884,             0.28421,            0.043761,            0.010874,          6.6538e-05,          0.00014735,          0.00014735,          0.00014735
                  46,             0.04105,           0.0051624,          6.9729e-05,             0.71118,             0.53487,             0.55844,              0.2841,            0.043774,            0.010898,          6.4673e-05,          0.00014225,          0.00014225,          0.00014225
                  47,            0.040749,           0.0051187,          6.4625e-05,             0.74844,             0.52086,             0.55897,             0.28443,            0.043738,            0.010868,          6.7961e-05,          0.00013719,          0.00013719,          0.00013719
                  48,            0.040338,           0.0051243,          5.7018e-05,             0.71796,              0.5321,             0.55897,             0.28328,             0.04373,            0.010876,          6.9683e-05,          0.00013217,          0.00013217,          0.00013217
                  49,            0.040508,           0.0051098,          5.8833e-05,             0.70738,             0.53552,             0.55889,              0.2835,            0.043728,            0.010889,          7.0335e-05,          0.00012721,          0.00012721,          0.00012721
                  50,            0.040176,           0.0050653,          5.5319e-05,             0.70138,             0.53838,             0.55882,             0.28349,            0.043731,             0.01092,          7.2201e-05,          0.00012231,          0.00012231,          0.00012231
                  51,            0.040109,           0.0050698,          6.6459e-05,             0.70243,             0.53828,             0.55876,             0.28365,            0.043746,            0.010952,          7.2669e-05,          0.00011749,          0.00011749,          0.00011749
                  52,            0.039716,           0.0049949,          4.9828e-05,             0.69962,             0.53957,             0.55873,             0.28404,            0.043768,            0.010969,          7.1461e-05,          0.00011274,          0.00011274,          0.00011274
                  53,            0.039711,           0.0050873,          5.0491e-05,             0.71235,             0.53337,             0.55781,             0.28369,            0.043785,            0.010994,          6.8888e-05,          0.00010807,          0.00010807,          0.00010807
                  54,            0.039551,            0.005002,          5.5716e-05,             0.71337,             0.53315,             0.55758,             0.28342,            0.043796,            0.011017,          6.8481e-05,           0.0001035,           0.0001035,           0.0001035
                  55,            0.039298,           0.0050633,          4.9393e-05,             0.71291,             0.53262,              0.5574,             0.28334,             0.04381,            0.011036,          6.8952e-05,           9.903e-05,           9.903e-05,           9.903e-05
                  56,            0.039182,           0.0050521,          6.3465e-05,             0.70662,             0.53261,             0.55653,             0.28566,            0.043838,            0.011053,          6.9416e-05,          9.4665e-05,          9.4665e-05,          9.4665e-05
                  57,            0.038927,           0.0049774,          4.5164e-05,             0.71027,             0.53084,             0.55625,             0.28518,            0.043866,            0.011064,          6.9459e-05,          9.0412e-05,          9.0412e-05,          9.0412e-05
                  58,            0.038936,            0.005003,          4.9772e-05,             0.71256,             0.52976,             0.55582,             0.28477,            0.043886,            0.011077,          7.0009e-05,           8.628e-05,           8.628e-05,           8.628e-05
                  59,            0.038948,           0.0049968,          5.4497e-05,              0.7092,             0.53029,             0.55523,             0.28491,            0.043909,            0.011102,          7.0778e-05,          8.2273e-05,          8.2273e-05,          8.2273e-05
                  60,            0.038774,           0.0049834,          5.0049e-05,             0.70926,             0.53074,             0.55534,             0.28456,            0.043929,            0.011125,          7.1352e-05,          7.8398e-05,          7.8398e-05,          7.8398e-05
                  61,            0.038502,           0.0049379,          4.6908e-05,             0.71031,                0.53,              0.5551,             0.28456,            0.043951,             0.01115,          7.1651e-05,          7.4662e-05,          7.4662e-05,          7.4662e-05
                  62,            0.038354,           0.0049349,          4.7796e-05,             0.70835,             0.53118,             0.55533,             0.28442,            0.043969,            0.011176,          7.1938e-05,          7.1069e-05,          7.1069e-05,          7.1069e-05
                  63,            0.038319,           0.0049502,          4.6613e-05,             0.70873,             0.53069,             0.55497,             0.28423,            0.043982,            0.011195,          7.2364e-05,          6.7626e-05,          6.7626e-05,          6.7626e-05
                  64,             0.03817,           0.0049225,          4.8764e-05,             0.70018,             0.53361,             0.55505,             0.28426,            0.043997,            0.011224,          7.2496e-05,          6.4338e-05,          6.4338e-05,          6.4338e-05
                  65,            0.038034,           0.0049061,          4.3879e-05,             0.69936,              0.5336,              0.5549,             0.28433,            0.044007,            0.011245,          7.2924e-05,           6.121e-05,           6.121e-05,           6.121e-05
                  66,             0.03792,           0.0048975,          4.0009e-05,             0.69893,             0.53338,              0.5547,             0.28426,            0.044023,            0.011267,          7.2748e-05,          5.8246e-05,          5.8246e-05,          5.8246e-05
                  67,            0.037963,           0.0049531,          3.7082e-05,             0.70209,             0.53158,             0.55435,             0.28413,            0.044037,            0.011292,          7.2773e-05,          5.5451e-05,          5.5451e-05,          5.5451e-05
                  68,            0.037899,           0.0049245,          3.6457e-05,             0.69886,             0.53281,             0.55441,             0.28402,            0.044046,            0.011312,          7.2555e-05,          5.2831e-05,          5.2831e-05,          5.2831e-05
                  69,            0.037632,           0.0049037,          4.2224e-05,             0.69959,              0.5322,             0.55412,             0.28389,            0.044061,            0.011338,          7.2638e-05,          5.0387e-05,          5.0387e-05,          5.0387e-05
                  70,            0.037635,           0.0049361,          4.0832e-05,             0.69229,             0.53463,             0.55383,             0.28385,            0.044073,            0.011356,          7.3003e-05,          4.8125e-05,          4.8125e-05,          4.8125e-05
                  71,            0.037772,           0.0048834,          4.0993e-05,             0.69403,             0.53321,             0.55345,             0.28376,            0.044087,             0.01138,           7.348e-05,          4.6048e-05,          4.6048e-05,          4.6048e-05
                  72,            0.037419,           0.0048845,          4.1671e-05,             0.68846,             0.53551,             0.55349,             0.28378,            0.044098,            0.011394,          7.3599e-05,          4.4159e-05,          4.4159e-05,          4.4159e-05
                  73,            0.037372,           0.0048811,          4.1165e-05,             0.68787,             0.53611,              0.5536,             0.28501,            0.044108,            0.011416,          7.3729e-05,          4.2461e-05,          4.2461e-05,          4.2461e-05
                  74,            0.037217,           0.0048405,          4.1278e-05,             0.68775,             0.53575,             0.55339,             0.28497,            0.044123,            0.011432,          7.3602e-05,          4.0956e-05,          4.0956e-05,          4.0956e-05
                  75,            0.037211,           0.0048726,          4.1244e-05,             0.66585,             0.54431,             0.55278,             0.28478,            0.044136,            0.011454,           7.357e-05,          3.9647e-05,          3.9647e-05,          3.9647e-05
                  76,            0.037175,           0.0048574,          3.3068e-05,             0.66828,             0.54319,             0.55301,             0.28513,            0.044142,            0.011469,          7.3276e-05,          3.8536e-05,          3.8536e-05,          3.8536e-05
                  77,            0.037161,           0.0048278,          3.5063e-05,             0.67097,             0.54176,             0.55263,             0.28505,            0.044153,            0.011496,          7.3563e-05,          3.7625e-05,          3.7625e-05,          3.7625e-05
                  78,            0.037109,           0.0048635,          3.7721e-05,             0.67228,             0.54148,              0.5528,             0.28509,             0.04416,            0.011511,           7.352e-05,          3.6915e-05,          3.6915e-05,          3.6915e-05
                  79,            0.036949,           0.0048187,          3.4229e-05,             0.67187,             0.54131,             0.55254,             0.28492,            0.044167,            0.011533,          7.3327e-05,          3.6407e-05,          3.6407e-05,          3.6407e-05
